region,category,name,image,description
전주,restaurants,조점례 남문피순대,sundae.png,뜨끈뜨끈 순대국밥과 피순대가 맛있는곳
전주,restaurants,현대옥 남부시장점,gukbab_1.png,오징어가 들어간 시원한 콩나물국밥
전주,restaurants,왱이집,gukbab_2.png,콩나물 왱이 국밥~ 
전주,restaurants,하수경 가마솥비빔밥,bibimbab.png,밥이 진짜 맛있는 하숙영 가마솥 비빔밥 전북 전주시 완산구 전라감영5길 19-3 하숙영가마솥비빔밥
전주,restaurants,PNB풍년제과,choco.png,"달콤한 초콜릿과 부드러운 크림, 딸기잼이 조화를 이룬 환상의 맛! 전주 초코파이 전북 전주시 완산구 팔달로 180"
전주,restaurants,전일갑오,jeon1.png,황태맛에 한번 더 반하는 전주 원조 가맥집
전주,touristSpots,한옥마을,,
전주,touristSpots,전주동물원,,
전주,touristSpots,국립전주박물관,,
전주,touristSpots,전주전통술박물관,,
전주,touristSpots,전주 풍패지관,,
전주,touristSpots,시장비빔밥,,
군산,restaurants,일해옥,,콩나물국밥
군산,restaurants,뜨락,,닭누룽지백숙
군산,restaurants,복성루,,해물짬뽕
군산,restaurants,옹고집쌈밥,,쌈밥
군산,restaurants,한소끔,,해물찜
군산,touristSpots,말랭이마을,,
군산,touristSpots,은파호수공원,,
군산,touristSpots,경암동철길마을,,
군산,touristSpots,선유도 해수욕장,,
군산,touristSpots,금강습지생태공원,,
군산,touristSpots,테디베어뮤지엄,,
익산,restaurants,동서네낙지,,
익산,restaurants,초미당,,
익산,restaurants,한일식당,,
익산,restaurants,신동양,,
익산,restaurants,고려당,,
익산,restaurants,따봉식당,,
익산,touristSpots,익산근대역사관,,
익산,touristSpots,고스락,,
익산,touristSpots,익산보석박물관,,
익산,touristSpots,서동팜,,
익산,touristSpots,왕궁 포레스트,,
익산,touristSpots,액션하우스,,
정읍,restaurants,차마루,,쌍화탕
정읍,restaurants,대일정,,"떡갈비, 참게장 주물럭"
정읍,restaurants,포레스트베이,,파스타
정읍,restaurants,옹기전팥죽,,"분식, 팥죽"
정읍,restaurants,아들딸사랑한다,,묵은지 김치찜
정읍,restaurants,이화담,,갈비젓갈조림
정읍,touristSpots,내장산,,
정읍,touristSpots,백양사,,
정읍,touristSpots,정읍사문화공원,,
정읍,touristSpots,피향정,,
정읍,touristSpots,쌍화차거리,,
정읍,touristSpots,용흥리 해정사지 석탑,,
김제,restaurants,세엄마칼국수,,
김제,restaurants,원평 지평선청보리한우촌,,
김제,restaurants,청원골,,
김제,restaurants,예촌,,
김제,touristSpots,모악랜드,,
김제,touristSpots,벽골제,,
김제,touristSpots,김제금산사,,
김제,touristSpots,아리랑문학마을,,
김제,touristSpots,선암자연휴양림,,
김제,touristSpots,수류성당,,
남원,restaurants,삼포가든,,
남원,restaurants,이조갈비,,
남원,restaurants,만월,,
남원,restaurants,서남만찬,,
남원,restaurants,친절식당,,
남원,touristSpots,남원항공우주천문대,,
남원,touristSpots,아담원,,
남원,touristSpots,지리산허브밸리,,
남원,touristSpots,광한루원,,
남원,touristSpots,춘향테마파크,,
남원,touristSpots,남원랜드,,
여수,restaurants,꽃돌게장1번가,,
여수,restaurants,로타리식당,,
여수,restaurants,바다김밥,,
여수,restaurants,복춘식당,,
여수,restaurants,좌수영바게트버거,,
여수,restaurants,여수당,,
여수,touristSpots,여수해상케이블카,,
여수,touristSpots,아쿠아플라넷,,
여수,touristSpots,유월드 루지 테마파크,,
여수,touristSpots,오동도,,
여수,touristSpots,테디베어뮤지엄,,
여수,touristSpots,전라남도해양수산과학관,,
목포,restaurants,유달콩물,,
목포,restaurants,청자횟집,,
목포,restaurants,선경준치횟집,,
목포,restaurants,김정림선지해장국,,
목포,restaurants,하당먹거리,,
목포,restaurants,정성김밥,,
목포,touristSpots,목포자연사박물관,,
목포,touristSpots,고하도전망대,,
목포,touristSpots,평화광장,,
목포,touristSpots,목포해상케이블카,,
목포,touristSpots,목포근대역사관,,
목포,touristSpots,갓바위,,
순천,restaurants,나눌터,,
순천,restaurants,신대초밥,,
순천,restaurants,벽오동,,
순천,restaurants,풍미통닭,,
순천,restaurants,남녘들밥상,,
순천,restaurants,대원식당,,
순천,touristSpots,순천만국가정원,,
순천,touristSpots,낙안읍성,,
순천,touristSpots,드라마촬영장,,
순천,touristSpots,순천만습지,,
순천,touristSpots,호남호국기념관,,
순천,touristSpots,화포해변,,
나주,restaurants,나주곰탕 하얀집,,
나주,restaurants,송현불고기,,
나주,restaurants,남평할매집,,
나주,restaurants,중화루,,
나주,restaurants,행운분식,,
나주,restaurants,조선옛날국밥,,
나주,touristSpots,나주랜드,,
나주,touristSpots,빛가람호수공원빛가람전망대,,
나주,touristSpots,중흥골드스파&리조트워터락,,
나주,touristSpots,국립나주박물관,,
나주,touristSpots,나주배박물관,,
나주,touristSpots,머시머시체험농장,,
광양,restaurants,금목서 광양불고기,,
광양,restaurants,지곡산장,,
광양,restaurants,신가가마솥,,
광양,restaurants,대한식당,,
광양,restaurants,아덴플러스,,
광양,restaurants,청룡식당,,
광양,touristSpots,구봉산전망대,,
광양,touristSpots,섬진강,,
광양,touristSpots,광양와인동굴,,
광양,touristSpots,광양에코파크,,
광양,touristSpots,광양목재문화체험장,,
광양,touristSpots,매화 정보화마을,,
광주,restaurants,서울곱창,,
광주,restaurants,미미원,,
광주,restaurants,영명국밥,,
광주,restaurants,대광식당,,
광주,restaurants,상무초밥,,
광주,restaurants,송정떡갈비,,
광주,touristSpots,4.19민주혁명 역사관,,
광주,touristSpots,5.18민주화운동기록관,,
광주,touristSpots,경장각,,
광주,touristSpots,맥문동숲길,,
광주,touristSpots,박뫼마을,,
광주,touristSpots,양림동 호랑가시나무길,,
